Utility to process github logs
Going to process projects/top_C++/folly/all_log_nomerge_function.txt 
---------- folly ------------

COMMIT: 2c111cff3015b80a86ab16d3f1edee934bc25e59
COMMIT: 5637418f8b3852a5467b0a7f6f201436628c50ee
COMMIT: 4514c06cdfe7038b74ab99916824f203a65da446
COMMIT: fa33147273be70b6c796fc83c086897ac06d6a40
COMMIT: cc89faa334e87cd29359f59e8737583cbfced74b
COMMIT: 75bad6260eb43739cede7ec49964ffc7c37ecfa9
COMMIT: e4b8b76f31814b7e554c08653d032e02afb01884
COMMIT: 6a2eb674667ff14bee8e56a8613676b02cfb5740
COMMIT: 01d31b9f595c37842125f9ad3104db11baa8944d
COMMIT: bcf360a905b6a443d23ab0433ec64d79cc191cb6
COMMIT: 7f22ad99b5c4583d8f579911b8907c7758a4151e
COMMIT: 61a1244ec0d11e8a612c4e2614c8cea32f4d87d4
COMMIT: bd51c8dbebd7ee9de3db64b8d84a814a00639e0a
COMMIT: 6457c4429379011d12ee841e8325dddeebec538e
COMMIT: 372fad515345d453e340a01b54b2ded98a6f2f40
COMMIT: 86e0057c168a70f5cbe8a1d5397ee7bd0beb16d8
COMMIT: 186bd8ade9668acd931201b4913d3c2af1f9535f
COMMIT: dfd26951fe63b369a0d2c49edbe9fe4aaab69417
COMMIT: 1137f4b872d19547b2f76874174034ff94060cc0
COMMIT: ca1e87ed0a85daf3abaf2ac423266e869f3961ec
COMMIT: 16b7f86299f935fc16d38d72a8b497e2ab4a1d4f
COMMIT: a9a55400de179a512558627cfb6f931ea7fe7c3c
COMMIT: c1f059de5f64b962bcb08f31dd4d7032fce79757
COMMIT: 31c71948e3b4b791ee462355151528a3d15ea7d2
COMMIT: 53e6886f69ae6ee428c9a72643213c80bd75c793
COMMIT: fe6e73a623836ecc71e5bef35b701b1d44b19f52
COMMIT: 8ce13dccd5135e6b8bb8855e1ee74a53a69723b9
COMMIT: cbed89541bea7c0ea31551730c16daf806df2834
COMMIT: bf87ffac83b2a36aadbb4bb3c106b36258c06a20
COMMIT: e9e3d9b685715f91ec9527e11723e85fcee2a85e
COMMIT: 0efcd8c8283cdfc57d83594637dcb8b5fec09288
COMMIT: af7afa42b2bf703a9dc9642a4fe8bb350da3bc87
COMMIT: 143b92ee0d22b6dd70e07f4115687ff6a04e0f50
COMMIT: 01c150d50546fe4c8e2cf0c3a5f1796967e47005
COMMIT: 2bf6f465d9d9b418c09f02a06842a34a67123907
COMMIT: 3bb128276a7edeae46d14f4a345298c3a1e983ba
COMMIT: 193eb597fb6e9cd1bea0269ab04ca30750183785
COMMIT: 461f01823caf2c1d17a1cecee98603c7c58c7710
COMMIT: 9f41a73a76efc8f46eb0ac523b2c891acdb8b07b
COMMIT: 36ca845043259977fac1e8cddec7427d711e1126
COMMIT: bb400ba01a116628a230cabbc1c472d0c7c06905
COMMIT: de79f37492266a96e18353c45b0219b35f5ae7e6
COMMIT: cc7a5803e4dc766f182f9bb7f507a04b167c131f
COMMIT: 42111d8713cb17e524e097a49f93c9084c084a45
COMMIT: f58b11823cfb994c351722ce130f28f794db2c0e
COMMIT: d167b41554b659b3c0966210b17f6e038eb11648
COMMIT: 60825c9bca47c6919ad192527dacd052b02e13b9
COMMIT: bd0cc9814f294fab7c186545988b8d2cf9a236c8
COMMIT: 33191ca312b82f0df4674e0bb5efd9aa0b895ab8
COMMIT: dce6e23d30d9330889bb5fb83c2c4b7383fe21fb
COMMIT: 86b19dbf8eebc88b09cbe3b94c49893cfc86d2b5
COMMIT: 320a9600f9cb11bbfd3f17dc99cb7b252132eb37
COMMIT: bf590e16a063840e2691f775da187be04cb7bd2f
COMMIT: dbd0777d28fd6b0ef26d4e1c206ae5e3d4a2f67f
COMMIT: 727f779bf54deac4add02b20bd60ae50532c9d93
COMMIT: 2aa61de13bf450f17917e88e38457ea3a3079762
COMMIT: db57efd05b6605784e1a8ed88bb20609352fe927
COMMIT: 023eb4f8ff4df08cdd1d7b5f78a99dba7b457471
COMMIT: 64f036b4965a0338d5ff7e30cd673982d993848d
COMMIT: 64699b9b34fb36d895bc2fac6effbd362976f402
COMMIT: c768c3f46991ce01f0fb06b3e070d8cbf8b25884
COMMIT: f406269abf94a83f2a3b941ad844664deb94b48d
COMMIT: 7dbfd2f877ab8386992e3a8d540e14b3e567e33e
COMMIT: 7cae56406bd38fce78099c3c0ec21138aef276e2
COMMIT: 7efcdea30699df51cce989c860d2e88ddfe1bdc2
COMMIT: 5180b66230ee290a22bdba66f81e9f33e0216dd9
COMMIT: 2df2c5506a568220d3e4583170c64a84c11ed1b2
COMMIT: 59badf857a28d6006edb483c12469ac37e54ef4a
COMMIT: f85b4b76bbc5cd9195bfa36ad60dd6e0a3c9cdb1
COMMIT: a3537a0f553e89ca911745fa2e58db454044fb6b
COMMIT: 26395e9b0dc250bf40f36334b32c8f4599f80a1b
COMMIT: f9eb4bb48bd6036beae37196882b32801595c45d
COMMIT: 79ae78317bb26ac56fa2feeeb0292935f36c85a5
COMMIT: 789dbd170fb1d61e9720a057f146f86ec908186c
COMMIT: 6f8699fc809889f748c2f83a9b042a497f81d32a
COMMIT: ff7e12b66345f2b70d1c7657f72bd4c35518bd10
COMMIT: 5a2591ef0afd71a3fd6998907fbb06c9385de329
COMMIT: d9e08fac978077172eff085989fe6c018c9fcaca
COMMIT: 1706959a50b7ccb77402822beba6529ba04f354b
COMMIT: 45339b04458a02d445c680175d8daa53fb90b512
COMMIT: 8ec98dd875fd6a810693852d63f42f95dbbaeb52
COMMIT: b89b79d96fab7562a4cbd11c70df65bdf16b0a62
COMMIT: 8900cad8f8156ab4228ee3ace06e998e56b4c0bb
COMMIT: 8b9a09ce4320290b698f5a7804f25548ca85d10f
COMMIT: 7a4c7813e2ea74b19fb2872b4f43a6ee304e1d49
COMMIT: fff701bfc7db2f23becae9da222a63a7ad86177b
COMMIT: a95dbe434014196d44fa03d0f60d5efef662fd20
COMMIT: 5b39efc2656ebcd74b46775ad276c1ab06c3c54b
COMMIT: fa2487779f809c0283f16dc4fc081e9384beefa6
COMMIT: f92ce30d990d2e8d90a056401b8e58459f733409
COMMIT: 23bc29b8109d9dc11793367f6bdcfa1962471c27
COMMIT: 328dda4ba39461638435e9723034a26287238c3c
COMMIT: 03439afb970453a0ae932cd0fc8f3ad24f40d8e5
COMMIT: 496a11391648ad871f5b6441cf8c9c61f1df74d3
COMMIT: d07aa05e1e690ef181c52eb3bd3e70198bddd47a
COMMIT: 323c9a330ba0c86599ed3d4781cdd94ee6c4b573
COMMIT: 5575da1ffdf860588f8a1da9557f1fbc6d86b649
COMMIT: ef1c65adcbaf99ade4cfe548dabb2cfb7b4fa025
COMMIT: 4a03236d4bd2084f957be74ea3f61f2ae531a496
COMMIT: b5a2084a1a6b99892474e27cddca0d4404819a46
COMMIT: 1f656e7d6b879973b743442287f8620e87e34d2a
COMMIT: da432bdcb82b4b83cea7efac6bd1e0434947e719
COMMIT: c947d451ab60011477ee6e08f7ee2ff2024d437d
COMMIT: bc34a5a774095b639bef86ca3b9383b8082c8b87
COMMIT: 3be65bf058d8b774910133384e9e91e4bb5ba4d3
COMMIT: 79e29a6c284d30210af752f547a10cbbb99c7b7e
COMMIT: b0131bea126f9febe31c825fc4cd11d5d8996304
COMMIT: 3b4d7b6a8e7c001af8ff7fc4a55229d58b2114db
COMMIT: caf6cdc0cba48d747b8fa9ff5e3e93d3504d2439
COMMIT: d5550513ae99ac1a9c59bb7a7dcd86e03739b890
COMMIT: 3651364b70406ff1c0c2ed2214777038cf1fe526
COMMIT: 48a8ecdb0d87c31e45520fbcad1f032890c67230
COMMIT: e1c9764467c8c40c427c4b158342ba3642fe10a8
COMMIT: 0e7cb3feec43284e953bb3c555802a076df78085
COMMIT: 461cac77848578910c62ef43d73fe881a16380ef
COMMIT: 2a919488e71de244afa7297520894ccbff2e0692
COMMIT: 3d381a3571e4c773a498ddc5216a52875bd86ae6
COMMIT: 1e2aee3a27a694e4015a23b4c30a00e29a6ed7ce
COMMIT: f51b046693ba4e381b19e1f1f4c1e0b8efdbb287
COMMIT: 4ecf6e3f6d120907c0e32059a923d15cd6fcfedc
COMMIT: 1ae1c1ff3f344c6c1cec8f4b78c725e8e4b9a134
COMMIT: d599ae3bef120f64b8042ac4407af96b85b8a4f1
COMMIT: e872b4400ebf7d68f9b0fca1b3b851556d22513a
COMMIT: 0593c2242fcbf86010f9399e5655186e9534e71a
COMMIT: ad0c254dbdbac5b166c1b4e9e3386ba487842630
COMMIT: c8250894a847994e9f76960564a6a56d68b85f5c
COMMIT: 1185881df4c4a6195f5cd99dae703a0ff0a1ec58
COMMIT: f639b4542e084dd4cd5130000b63384a53f50973
COMMIT: 62dbf939bc2c7c495828fe03b7e7025b2cbe4a9d
COMMIT: df7a2d078ab78d4f2a8a94c71d1b0d342f5a3bf7
COMMIT: ec66459bbd15d255a5e2d9062c63a49f251103f0
COMMIT: 86d0e6a9d4745170e4638ae38154c10b323a2a59
COMMIT: c5dabddc2f804c33dfeb7e248d697bf69f6c90cf
COMMIT: f099d2b48d75cb98f21e62b5dfca344c96588ffe
COMMIT: 6d88461ace59daf1fa06e54e2240b5521bd1e639
COMMIT: 8232c2cd35be2479278d9081c81b909dc14a37e6
COMMIT: 4a92da5b87f3c4616e31875a4b62cca015ebea36
COMMIT: 5cc2f9945c169d3946963c6ee485e32eea407fac
COMMIT: 675a137da29d6c33f903d1ea9f58e5c1778c3770
COMMIT: ec3c8f790fc7e8d870d518211e124830c4bdf1d3
COMMIT: be171a181d64a32b75440a4a2aebb7de24c4b0b1
COMMIT: e3eecdae17dd4adc09e19da9b232f5f06846a567
COMMIT: c9f8c1dba06e4ef4f94a84b4ccb4324b20a14e09
COMMIT: c5fa8a9f883f5fe9de9aa38f0267354fb0e774c7
COMMIT: 56e4be21c4b04bbf55e038ef479dcb6cbb8c0244
COMMIT: 4c929bc52df23c4c964b29a731b768ecb1619cf8
COMMIT: e2e4c525b587d1c295fc8e7578ec073c79123a63
COMMIT: 589052a636a717bbf89dfc5c25588cbdaac080a8
COMMIT: adba2ec8eeee40e88b722c77d606b29144fea666
COMMIT: 45e225673d52fbd46547a82c8f7e620b0a76e6e5
COMMIT: 8e1544536fa676df7e722db0cc9de536c5879998
COMMIT: 02bb2c340cde43595ca8aacd6585751c8e58541a
COMMIT: 5cf352781a70eaf4e61a1aad640ea07cd0983307
COMMIT: e4e2520ac491eb7d13cde8aea87dd8668b622da0
COMMIT: e9089c4aa7c8ae9ea202a41ceb29bcb8fecea02c
COMMIT: 9a797d917aaad916918e32d2dc7331b7208dda9e
COMMIT: a9c6c80d31f8a035bf4d7ef729956a8e110ef777
COMMIT: fe381c8b35cb0eafcd65b9b692a557eb78085d8c
COMMIT: e602963840f91a673443aff98d14d339194882d1
COMMIT: 0b46bcd5eceaedb51c84bc16f5804481b41cb965
COMMIT: 5b531cbb45884ad8a27891cf3170cd0286c3183c
COMMIT: e4c703f058efa86e16ea11ff8471220b3867c2ca
COMMIT: 7f413ec31d3c7ad9cde6f5fe4ec06d9ee6b758b2
COMMIT: 026ec6b1f4ee78d573704c6b83d198833e5b5736
COMMIT: db2eae0e1dee4612585fa673da49b303906e4c4f
COMMIT: 5623085aabacd5ded93e98f06ba0779133457ad6
COMMIT: c7138e7ca18e6cfcc833e26ac3910fab44c80694
COMMIT: fdd8e84bddefb7fbf07df87b9ed83d6b748c68f3
COMMIT: 555213ca924f9e5a174cc8efd0f5da8b6c2ad4a9
COMMIT: dded90960871719f2ab5e18ce6c7fa41ec2d545a
COMMIT: b44cacfd2c3ef9aab6abfc32e9d820b9de3d8d79
COMMIT: de6b9a7813afc96f9e3b48d908d120e0b111b725
COMMIT: d58181e677965b609be89b49ed7fbc4e78bf70b5
COMMIT: 124877d36e116d624542155f9d463c76ab80cfe5
COMMIT: dd00fd8134ac7bdf72117a23e143094474e142cd
COMMIT: f0901aec9160175eab49586f02539536a5d807fb
COMMIT: f3e177a5fa754551b977bdceec70abc833ff8e9c
COMMIT: 37624c1f29756ef40e49233fceeddf3790dab6cd
COMMIT: ef0137ceaf11b0dce2b732797c480ccb9adb20b6
COMMIT: 0cfa7e4b5625749d2fc50d26afd24b7fd5b1136e
COMMIT: f8147e89c8fc8c1096ccac2587adde4211317730
COMMIT: dda97e8e969c34c4a10de1e26199fa926c0ae731
COMMIT: 9eed30ddfdcc53b0d17fa72299ea96cde16cc52b
COMMIT: 4f7459c35f98f5657cb864d2e9c4cc3e3cbf8080
COMMIT: abdd128c348e8c7406745660eda3d22cddf05a1b
COMMIT: 3444ffba56927ac7e682dafd92ccc37a0f50c8ad
COMMIT: 0b46dda4133eb50ecd1835b7171b614efa382147
COMMIT: 8ab68e82e4abdcdc458548b57f9bb0af4a89b7f1
COMMIT: b79405c612523670e6b4238c8ff85681734b7075
COMMIT: c1ad75447b8903ab259127339e11bfb096ee49a7
COMMIT: 2aed11df4091a87c6c3141bca78a480e2759d2ae
